name,type,start_time,duration
"ICM42688 SPI","error",0.799169375,0.000001125
"ICM42688 SPI","error",0.799215875,0.0000005
"ICM42688 SPI","enable",0.799291,0.000000125
"ICM42688 SPI","disable",0.799369375,0.000000125
"ICM42688 SPI","enable",0.851904625,0.000000125
"ICM42688 SPI","disable",0.851937125,0.000000125
"ICM42688 SPI","error",0.851965625,0.000002125
"ICM42688 SPI","error",0.85199825,0.00003075
"ICM42688 SPI","enable",0.85213475,0.000000125
"ICM42688 SPI","disable",0.85216725,0.000000125
"ICM42688 SPI","error",0.852228375,0.000031
"ICM42688 SPI","error",0.8522895,0.000000375
"ICM42688 SPI","error",0.852320375,0.000031125
"ICM42688 SPI","enable",0.8524115,0.000000125
"ICM42688 SPI","disable",0.85248875,0.000000125
"ICM42688 SPI","enable",0.852547625,0.000000125
"ICM42688 SPI","disable",0.852580875,0.000000125
"ICM42688 SPI","error",0.852608625,0.000002625
"ICM42688 SPI","error",0.852701875,0.00000125
"ICM42688 SPI","error",0.85273075,0.000172375
"ICM42688 SPI","error",0.8529325,0.000001125
"ICM42688 SPI","enable",0.853007625,0.000000125
"ICM42688 SPI","disable",0.85308675,0.000000125
"ICM42688 SPI","error",0.8531155,0.000001875
"ICM42688 SPI","error",0.8531625,0.000001375
"ICM42688 SPI","error",0.853209375,0.000000375
"ICM42688 SPI","enable",0.8532845,0.000000125
"ICM42688 SPI","disable",0.85336275,0.000000125
"ICM42688 SPI","error",0.905899875,0.000030875
"ICM42688 SPI","error",0.90599175,0.00003075
"ICM42688 SPI","enable",0.906128625,0.000000125
"ICM42688 SPI","disable",0.90616075,0.000000125
"ICM42688 SPI","error",0.90618975,0.000001625
"ICM42688 SPI","enable",0.906218125,0.000000125
"ICM42688 SPI","disable",0.906253,0.000000125
"ICM42688 SPI","error",0.906312,0.000032625
"ICM42688 SPI","error",0.90637275,0.0000025
"ICM42688 SPI","error",0.906405625,0.000077
"ICM42688 SPI","error",0.906510875,0.000002
"ICM42688 SPI","error",0.90654175,0.000032375
"ICM42688 SPI","error",0.906603875,0.00000075
"ICM42688 SPI","error",0.90664975,0.000001
"ICM42688 SPI","error",0.906695875,0.00000075
"ICM42688 SPI","error",0.906727125,0.0001695
"ICM42688 SPI","error",0.906926875,0.00000025
"ICM42688 SPI","enable",0.90700175,0.000000125
"ICM42688 SPI","disable",0.907080125,0.000000125
"ICM42688 SPI","error",0.907109625,0.00000125
"ICM42688 SPI","error",0.907166,0.000002375
"ICM42688 SPI","error",0.907213,0.00000125
"ICM42688 SPI","error",0.907259875,0.00000025
"ICM42688 SPI","error",0.9072895,0.000078
"ICM42688 SPI","enable",0.959892125,0.000000125
"ICM42688 SPI","disable",0.959924125,0.000000125
"ICM42688 SPI","error",0.959953125,0.00000175
"ICM42688 SPI","error",0.95998525,0.000030875
"ICM42688 SPI","enable",0.960122125,0.000000125
"ICM42688 SPI","disable",0.96015425,0.000000125
"ICM42688 SPI","error",0.960183125,0.000001875
"ICM42688 SPI","error",0.9602155,0.000031
"ICM42688 SPI","enable",0.960305125,0.000000125
"ICM42688 SPI","disable",0.960338375,0.000000125
"ICM42688 SPI","enable",0.960399,0.000000125
"ICM42688 SPI","disable",0.960476125,0.000000125
"ICM42688 SPI","enable",0.960535125,0.000000125
"ICM42688 SPI","disable",0.960567625,0.000000125
"ICM42688 SPI","error",0.960596125,0.000002125
"ICM42688 SPI","error",0.960643125,0.000001125
"ICM42688 SPI","error",0.96068975,0.000000375
"ICM42688 SPI","enable",0.96071825,0.000000125
"ICM42688 SPI","disable",0.96089,0.000000125
"ICM42688 SPI","error",0.96092,0.000000625
"ICM42688 SPI","enable",0.96099575,0.000000125
"ICM42688 SPI","disable",0.96107375,0.000000125
"ICM42688 SPI","error",0.961099375,0.000005
"ICM42688 SPI","error",0.96115,0.000000875
"ICM42688 SPI","enable",0.961272125,0.000000125
"ICM42688 SPI","disable",0.96134975,0.000000125
"ICM42688 SPI","enable",1.013885375,0.000000125
"ICM42688 SPI","disable",1.0139175,0.000000125
"ICM42688 SPI","error",1.013946375,0.000001875
"ICM42688 SPI","error",1.013978625,0.000030875
"ICM42688 SPI","enable",1.014116,0.000000125
"ICM42688 SPI","disable",1.01414775,0.000000125
"ICM42688 SPI","error",1.014208875,0.000030875
"ICM42688 SPI","error",1.014270125,0.00000025
"ICM42688 SPI","error",1.014300875,0.000031
"ICM42688 SPI","error",1.014360625,0.0000015
"ICM42688 SPI","error",1.014392625,0.000076625
"ICM42688 SPI","enable",1.014528375,0.000000125
